cui,umls_concept,entity_norm
C2298326,Mycobacterium lepromatosis,mycobacterium lepromatosis
C0206679,"herpesvirus 1, human",herpesvirus 1 human
C0026914,Mycobacterium avium Complex,mycobacterium avium complex
C1535939,Pneumocystis jiroveci pneumonia,pneumocystis jiroveci pneumonia
C0276289,Zika Virus Infection,zika virus infection
C0018378,Guillain-Barre Syndrome,guillainbarre syndrome
C0012652,Disease Outbreaks,disease outbreaks
C3826173,Human behavior,human behavior
C1175175,Severe Acute Respiratory Syndrome,severe acute respiratory syndrome
C0011133,Deer (mammal),deer mammal
C0026584,Culicidae,culicidae
C0008056,Chikungunya virus,chikungunya virus
C0043125,West Nile virus,west nile virus
C0949285,"Antibiotic Resistance, Microbial",antibiotic resistance microbial
C0858318,Plasmodium falciparum infection,plasmodium falciparum infection
C0699795,Attack device,attack device
C0003175,Anthrax disease,anthrax disease
C0006057,Botulism,botulism
C0032064,Plague,plague
C0037354,Smallpox,smallpox
C0041351,Tularemia,tularemia
C0019104,"Hemorrhagic Fevers, Viral",hemorrhagic fevers viral
C0006309,Brucellosis,brucellosis
C0017589,Glanders,glanders
C0025229,Melioidosis,melioidosis
C0029291,Psittacosis,psittacosis
C0034362,Q Fever,q fever
C0041471,TYPHUS,typhus
C0751098,Mosquito-borne viral encephalitis,mosquitoborne viral encephalitis
C0035243,Respiratory Tract Infections,respiratory tract infections
C1279264,Infectious disease of genitourinary system,infectious disease of genitourinary system
C1853193,Recurrent skin infections,recurrent skin infections
C0745442,Intravenous Catheters,intravenous catheters
C0085178,Needlestick Injuries,needlestick injuries
C0005658,bite injury,bite injury
C0003725,Arboviruses,arboviruses
C0003044,Animal bite,animal bite
C0036315,Schistosoma,schistosoma
C4072750,Gastrointestinal pathogens,gastrointestinal pathogens
C0017133,Gastric Juice (substance),gastric juice substance
C0042629,Vibrio cholerae,vibrio cholerae
C0013371,Shigella Infections,shigella infections
C0314761,Normal flora,normal flora
C0024651,Malt Grain,malt grain
C0599757,M Cells,m cells
C0206435,poliovirus,poliovirus
C0580247,Enteropathogenic Escherichia coli,enteropathogenic escherichia coli
C4048836,Salmonella enterica subsp. enterica serovar typhi,salmonella enterica subsp enterica serovar typhi
C0036957,Shigella flexneri,shigella flexneri
C0001075,Achlorhydria,achlorhydria
C5139166,Clostridium difficile enteritis,clostridium difficile enteritis
C0031133,Peristalsis,peristalsis
C0035870,Rotavirus,rotavirus
C0004590,Bacillus cereus,bacillus cereus
C0014372,Enterotoxins,enterotoxins
C0016479,Food Poisoning,food poisoning
C0580797,Enterotoxigenic Escherichia coli,enterotoxigenic escherichia coli
C0015309,Exotoxins,exotoxins
C0036111,Salmonella,salmonella
C0006813,Campylobacter,campylobacter
C0036125,Salmonella typhi,salmonella typhi
C1265431,Hydatid cyst (organism),hydatid cyst organism
C0015648,Fasciola hepatica,fasciola hepatica
C0321793,Lung trematode,lung trematode
C0021585,Insecta,insecta
C0003704,Arachnida (invertebrate),arachnida invertebrate
C0015256,Excoriation,excoriation
C0282508,Ixodes dammini,ixodes dammini
C0225377,Structure of upper respiratory tract cavity,structure of upper respiratory tract cavity
C0149778,Soft Tissue Infection,soft tissue infection
C0338237,Antibiotic therapy,antibiotic therapy
C1260957,Blue color,blue color
C0023237,Legionella,legionella
C0597258,Genus Pneumocystis,genus pneumocystis
C0002642,Amoeba genus,amoeba genus
C0021345,Infectious Mononucleosis,infectious mononucleosis
C0018081,Gonorrhea,gonorrhea
C0008149,Chlamydia Infections,chlamydia infections
C0439858,Conventional,conventional
C0005670,BK Virus,bk virus
C0729531,Viral respiratory infection,viral respiratory infection
C0599752,intestinal bacteria,intestinal bacteria
C0026922,Mycobacterium leprae,mycobacterium leprae
C0042765,Virulence,virulence
C0074447,Shiga Toxin,shiga toxin
C0041573,Uganda,uganda
1947,1947,1947
C0338666,Drug abuser,drug abuser
C0004576,Babesiosis,babesiosis
C0003862,Arthralgia,arthralgia
C0016253,Florida,florida
C0027573,Neisseria gonorrhoeae,neisseria gonorrhoeae
C0023122,Latin America,latin america
C0871222,reality,reality
C0004589,Bacillus anthracis,bacillus anthracis
C0006055,Botulinum Toxins,botulinum toxins
C0043408,Yersinia pestis,yersinia pestis
C0729756,Variola major virus,variola major virus
C0016677,Francisella tularensis,francisella tularensis
C0006303,Brucella,brucella
C0033818,Burkholderia mallei,burkholderia mallei
C0033819,Burkholderia pseudomallei,burkholderia pseudomallei
C0008150,Chlamydophila psittaci,chlamydophila psittaci
C0010240,Coxiella burnetii,coxiella burnetii
C0035587,Rickettsia prowazekii,rickettsia prowazekii
C0014078,Venezuelan equine encephalomyelitis,venezuelan equine encephalomyelitis
C0153065,"Encephalomyelitis, Eastern Equine",encephalomyelitis eastern equine
C0153064,"Encephalomyelitis, Western Equine",encephalomyelitis western equine
C0085319,Cryptosporidium parvum,cryptosporidium parvum
C0019092,Hantavirus,hantavirus
C0336663,Weapons,weapons
C3537093,Respiratory Secretion Alteration,respiratory secretion alteration
C0043084,Weaning,weaning
C0872021,Bioterrorism,bioterrorism
C0026126,Military Personnel,military personnel
C0489451,Body surface,body surface
C4045969,Physical Barriers,physical barriers
C0016397,Focal Infection,focal infection
C0243026,Sepsis,sepsis
C0043395,Yellow Fever,yellow fever
C0023281,Leishmaniasis,leishmaniasis
C0030635,Pasteurella,pasteurella
C0034494,Rabies (disorder),rabies disorder
C1708335,Healthy Volunteers,healthy volunteers
C1881203,Infectious Dose,infectious dose
C0599921,mucosa-associated lymphoid tissue,mucosaassociated lymphoid tissue
C0545876,Lumen of intestine,lumen of intestine
C0238106,Clostridium difficile colitis,clostridium difficile colitis
C0544420,Digestive Enzymes,digestive enzymes
C0239182,Watery diarrhea,watery diarrhea
C1707628,Damage of Vaginal Mucosa,damage of vaginal mucosa
C0229792,Lymph node of mesentery,lymph node of mesentery
C0226875,Lower Gastrointestinal Tract,lower gastrointestinal tract
C0010709,Cyst,cyst
C1318418,Brush Border,brush border
C1744526,Cryptosporidium,cryptosporidium
C4700060,E. histolytica,e histolytica
C0012563,Genus Diphyllobothrium,genus diphyllobothrium
C0012751,Distance,distance
C0597404,Respiratory viruses,respiratory viruses
C0018909,Hemagglutinin,hemagglutinin
C0026941,Mycoplasma pneumoniae,mycoplasma pneumoniae
C0006017,Bordetella pertussis,bordetella pertussis
C0302507,Parainfluenza Virus Infections,parainfluenza virus infections
C4267729,Respiratory pathogens,respiratory pathogens
C0002808,Science of Anatomy,science of anatomy
C0178879,Urinary tract obstruction,urinary tract obstruction
C0232483,Reflux,reflux
C0020197,hyaluronidase,hyaluronidase
C0205622,Microinvasive tumor,microinvasive tumor
C0205125,Deep (qualifier value),deep qualifier value
C0041228,African Trypanosomiasis,african trypanosomiasis
C0004572,Babesia,babesia
C0314768,Bacterial exotoxin,bacterial exotoxin
C0919293,Host Factor 1 Protein,host factor 1 protein
C0025011,Measles virus,measles virus
C0036316,Schistosoma haematobium,schistosoma haematobium
C0038028,"Spores, Bacterial",spores bacterial
C1519280,Sexually Transmitted Agents,sexually transmitted agents
C0026783,mumps virus,mumps virus
C0376325,hepatitis A virus,hepatitis a virus
C2677180,Congenital microcephaly,congenital microcephaly
C0009770,Inclusion conjunctivitis,inclusion conjunctivitis
C1136170,Virulence Factors,virulence factors
C0026687,Mucociliary Clearance,mucociliary clearance
C0012240,Gastrointestinal system,gastrointestinal system
C0242732,Tropism,tropism
C0054954,CD36 Antigens,cd36 antigens
C0028944,Oligodendroglia,oligodendroglia
C1257893,Pathogenicity Islands,pathogenicity islands
C0014290,"Enhancer Elements, Genetic",enhancer elements genetic
C0006968,Carbapenems,carbapenems
C1157196,extracellular polysaccharide biosynthetic process,extracellular polysaccharide biosynthetic process
C0081786,Microbial Biofilms,microbial biofilms
C1325881,biofilm formation,biofilm formation
C0157749,Arthropathy associated with infection,arthropathy associated with infection
C0243040,"Adhesins, Bacterial",adhesins bacterial
C2945724,f-protein,fprotein
C0039444,Teichoic Acids,teichoic acids
C0031921,Bacterial Fimbria,bacterial fimbria
gal(α1–4)gal moiety,gal(α1–4)gal moiety,galα1–4gal moiety
C0003319,Antigenic Variation,antigenic variation
C0023767,Lipid A,lipid a
C0069180,O Antigens,o antigens
C0108768,CD14 Antigen,cd14 antigen
C0682610,Enterocytes,enterocytes
C0554101,Villous atrophy,villous atrophy
C2244382,channel-forming ionophore activity,channelforming ionophore activity
C0506994,Goblet Cells,goblet cells
C0231830,Ciliary action,ciliary action
C0004600,Back,back
C0011167,Deglutition,deglutition
C0458579,Lower respiratory tract structure,lower respiratory tract structure
C0031354,Pharyngeal structure,pharyngeal structure
C1537068,Virus Internalization,virus internalization
C0008778,Cilia,cilia
C0041967,Urethra,urethra
C0227598,Urothelium,urothelium
C0520575,Acute pyelonephritis,acute pyelonephritis
C0085697,Chronic pyelonephritis,chronic pyelonephritis
C0445727,Olsenella uli,olsenella uli
C0006852,Candidiasis of vagina,candidiasis of vagina
C0004610,Bacteremia,bacteremia
C5234945,Immune status,immune status
C0010692,Cystitis,cystitis
C0149667,DESQUAMATED SKIN,desquamated skin
C5420372,Respiratory Droplets,respiratory droplets
C0016976,Gallbladder,gallbladder
C0021948,Invertebrates,invertebrates
C0027551,Needle device,needle device
C0034896,Rectum,rectum
C0521367,Oropharyngeal,oropharyngeal
C0015928,Fetal development of the mammalian embryo or fetus,fetal development of the mammalian embryo or fetus
C0043528,Zoonoses,zoonoses
C3887843,Microbiota (environment),microbiota environment
C1545500,Influenza virus A hemagglutinin,influenza virus a hemagglutinin
C0270612,Leukoencephalopathy,leukoencephalopathy
C1157858,coenzyme A catabolic process,coenzyme a catabolic process
C0815048,toxic proteins,toxic proteins
C1313790,"TAPBP protein, human",tapbp protein human
C0079868,"Mutagenesis, Insertional",mutagenesis insertional
C1179412,Cell cluster,cell cluster
C0314752,Gram-negative bacillus,gramnegative bacillus
C0441134,Vascular Catheters,vascular catheters
C0481488,Has artificial joint,has artificial joint
C1449624,Neuroepithelial Cells,neuroepithelial cells
C0563199,bacterial cell,bacterial cell
C0009118,Coagulase,coagulase
C0015268,Exfoliative Toxins,exfoliative toxins
C0051962,anthrax toxin,anthrax toxin
C0027934,Neurotoxins,neurotoxins
C0039614,Tetanus,tetanus
C0059036,Peptide Elongation Factor 1,peptide elongation factor 1
C0001492,Adenylate Cyclase,adenylate cyclase
C0023092,Lassa Fever,lassa fever
C1817908,Cellular Immune Response,cellular immune response
C0006033,Borrelia,borrelia
C1335239,PPBP gene,ppbp gene
C5670764,ATIC Gene Rearrangement,atic gene rearrangement
C0678936,gene recombination,gene recombination
C0580795,Enteroinvasive Escherichia coli,enteroinvasive escherichia coli
C0023861,Listeria monocytogenes,listeria monocytogenes
C0065082,"hlyA protein, Listeria monocytogenes",hlya protein listeria monocytogenes
C4277608,AlkB Enzymes,alkb enzymes
C5137598,receptor decoy activity,receptor decoy activity
C3203360,Suppuration,suppuration
C0037973,ORDER SPIROCHAETALES,order spirochaetales
C0319941,Histoplasma capsulatum,histoplasma capsulatum
C0276622,Acute viral hepatitis,acute viral hepatitis
C0149985,"Syphilis, secondary",syphilis secondary
C0450363,Three-dimensional,threedimensional
C0333740,Abnormal number of nucleoli,abnormal number of nucleoli
C0009663,Condylomata Acuminata,condylomata acuminata
C0009063,Clostridium perfringens,clostridium perfringens
C0240821,Pseudomembrane,pseudomembrane
C0276926,Schistosoma hematobium infection,schistosoma hematobium infection
C5139077,Infection due to encapsulated bacteria,infection due to encapsulated bacteria
C0253050,Stat3 protein,stat3 protein
C0596032,acquired immunodeficiencies,acquired immunodeficiencies
C4527217,Infiltrative Tumor Margin,infiltrative tumor margin
C0472699,Hemopoietic stem cell transplant,hemopoietic stem cell transplant
C0597385,Respiratory airway clearance,respiratory airway clearance
C0022877,Laboratory,laboratory
C0010150,Corynebacterium diphtheriae,corynebacterium diphtheriae
C0948245,Cytokine Release Syndrome,cytokine release syndrome
C1382398,Increased capillary permeability (finding),increased capillary permeability finding
C0009055,Clostridium botulinum,clostridium botulinum
C0009064,Clostridium tetani,clostridium tetani
C0006772,Calmodulin,calmodulin
C0004587,Genus Bacillus,genus bacillus
C0030657,Pathogenicity Aspects,pathogenicity aspects
C1159560,capsular polysaccharide transport,capsular polysaccharide transport
C1956061,Cathelicidins,cathelicidins
C5197907,Bacterial Outer Membrane,bacterial outer membrane
C1418887,PRF1 gene,prf1 gene
C0599896,trafficking,trafficking
C3178994,Disease Eradication,disease eradication
C1527180,Dominant,dominant
C1334467,Lymphoplasmacytic Infiltrate,lymphoplasmacytic infiltrate
C0004044,Asphyxia,asphyxia
C5195444,Antibody deficiency,antibody deficiency
C0085396,Neisseriaceae Infections,neisseriaceae infections
C5436123,Invasive infections,invasive infections
C5392099,Virome,virome
C4019321,Type 3 Secretion Systems,type 3 secretion systems
C1154599,quorum sensing,quorum sensing
C4690199,Extracellular Polymeric Substance Matrix,extracellular polymeric substance matrix
C1319405,Clinical microbiology,clinical microbiology
C0039712,Textbooks,textbooks
C0085580,Essential Hypertension,essential hypertension
C2985739,Clinically Significant Indicator,clinically significant indicator
C0872351,monolayer,monolayer
C0009458,Communications Media,communications media
C1180562,External elastic lamina,external elastic lamina
C0042367,Structure of vasa vasorum,structure of vasa vasorum
C0226008,All large arteries,all large arteries
C0681018,elastic (economic descriptor),elastic economic descriptor
C4022895,Medial calcification of medium-sized arteries,medial calcification of mediumsized arteries
C0034965,Regional Blood Flow,regional blood flow
C0035028,Relaxation,relaxation
C0013806,Electroconvulsive Therapy,electroconvulsive therapy
C0796371,BAT Locus,bat locus
C1879885,Backflow,backflow
C0449379,Connection,connection
C0162574,"Glycation End Products, Advanced",glycation end products advanced
C2712122,Normal blood pressure,normal blood pressure
C0015825,Labyrinth fenestration,labyrinth fenestration
C0812425,S-Phase Fraction,sphase fraction
C1961121,Congenital vascular anomaly,congenital vascular anomaly
C0005136,Berry Aneurysm,berry aneurysm
C0035956,"Rupture, Spontaneous",rupture spontaneous
C0003855,Arteriovenous fistula,arteriovenous fistula
C0742747,High-output congestive heart failure,highoutput congestive heart failure
C0016052,Fibromuscular Dysplasia,fibromuscular dysplasia
C1817007,cell wall thickening,cell wall thickening
C1272641,Systemic arterial pressure,systemic arterial pressure
C1258192,Total Peripheral Resistance,total peripheral resistance
C1156281,sodium ion homeostasis,sodium ion homeostasis
C0035094,Renin,renin
C0227650,Juxtaglomerular cell,juxtaglomerular cell
C0225356,Myoepithelial cell,myoepithelial cell
C0017654,Glomerular Filtration Rate,glomerular filtration rate
C0003006,Angiotensin I,angiotensin i
C0003009,angiotensin II,angiotensin ii
C0085552,Health Care Costs,health care costs
C0042210,Vaccines,vaccines
C2347175,Acre USA Survey,acre usa survey
C0332140,"Diagnosis, clinical",diagnosis clinical
C0242264,Electric Capacitance,electric capacitance
C0226002,Structure of medium artery,structure of medium artery
C0225342,Adventitia,adventitia
C0020887,Structure of iliac artery,structure of iliac artery
C0039155,Systole,systole
C0012000,Diastole,diastole
C0232108,Arterial pulse pressure,arterial pulse pressure
C0035065,Structure of renal artery,structure of renal artery
20 to 100 µm,20 to 100 µm,20 to 100 µm
C0205361,Steady,steady
7 to 8 µm,7 to 8 µm,7 to 8 µm
C1442199,Blood or Tissue,blood or tissue
C0184252,Medical Valves,medical valves
C0013832,Electrolytes,electrolytes
C0596117,antithrombogenic surface,antithrombogenic surface
C1515974,Anatomic Site,anatomic site
C0008524,Structure of choroid plexus,structure of choroid plexus
C0016107,filtration,filtration
C0004112,Astrocytes,astrocytes
C2346807,Anti-Coagulation Factor Unit,anticoagulation factor unit
C1258027,Endothelium-Dependent Relaxing Factors,endotheliumdependent relaxing factors
C0205112,Basal,basal
C0001516,Adhesives,adhesives
C5552990,Receptivity,receptivity
C0444454,Access,access
C0004268,Attention,attention
C0020168,Humor,humor
C5667488,Hyperperfusion,hyperperfusion
C0035096,Renin-angiotensin system,reninangiotensin system
C0035280,Retention (Psychology),retention psychology
C0226350,Structure of afferent glomerular arteriole,structure of afferent glomerular arteriole
C0022677,"Kidney Tubules, Proximal",kidney tubules proximal
C0003017,Angiotensinogen,angiotensinogen
C0003018,Angiotensins,angiotensins
C3271396,aldosterone secretion,aldosterone secretion
C0005974,Bone Resorption,bone resorption
C1144709,Natriuretic Peptides,natriuretic peptides
C0042380,Vascular resistance,vascular resistance
C0027481,Atrial Natriuretic Factor,atrial natriuretic factor
C0155616,Secondary hypertension,secondary hypertension
C0075233,Aldosterone Synthase,aldosterone synthase
C0020268,hydrocortisone,hydrocortisone
17α,17α,17α
C1384514,Conn Syndrome,conn syndrome
C0001627,Congenital adrenal hyperplasia,congenital adrenal hyperplasia
C0026457,Monoamine Oxidase Inhibitors,monoamine oxidase inhibitors
C0221043,Liddle Syndrome,liddle syndrome
C0009085,statistical cluster,statistical cluster
C0003011,"Receptor, Angiotensin II",receptor angiotensin ii
C3890554,Physical Inactivity,physical inactivity
C0025945,"Microangiopathy, Diabetic",microangiopathy diabetic
C0878486,Arteriolosclerosis,arteriolosclerosis
C0003826,Arts,arts
C5237367,Integrated,integrated
C2936380,Neointima,neointima
C1368081,Physical trauma,physical trauma
C0678234,Stenosis Morphology,stenosis morphology
C0231186,compensatory,compensatory
C0264956,Atheroma,atheroma
C0449820,Score,score
C0005824,Blood pressure determination,blood pressure determination
C0013798,Electrocardiogram,electrocardiogram
C0149721,Left Ventricular Hypertrophy,left ventricular hypertrophy
C0279752,Premenopausal - menopausal status,premenopausal menopausal status
C0279025,Hormone Therapy,hormone therapy
C0079399,Gender,gender
C0023824,LDL Cholesterol Lipoproteins,ldl cholesterol lipoproteins
C0023822,High Density Lipoprotein Cholesterol,high density lipoprotein cholesterol
C0600511,Pharmacologic Actions,pharmacologic actions
C1286104,Dietary Intake,dietary intake
C0013707,Egg Yolk (Dietary),egg yolk dietary
C0522534,Saturated,saturated
C0360714,Hydroxymethylglutaryl-CoA Reductase Inhibitors,hydroxymethylglutarylcoa reductase inhibitors
C1278080,Serum homocysteine measurement,serum homocysteine measurement
C0019880,Homocystinuria,homocystinuria
C1880179,convoluted shape,convoluted shape
C0022675,Structure of collecting tubule,structure of collecting tubule
C0225880,Structure of myocardium of ventricle,structure of myocardium of ventricle
C0022676,Distal convoluted renal tubule structure,distal convoluted renal tubule structure
C4726015,Sodium Excretion Rate,sodium excretion rate
C0012797,Diuresis,diuresis
C1373187,Renal Elimination,renal elimination
C0225998,Structure of afferent arteriole,structure of afferent arteriole
C0011263,Multi-infarct dementia,multiinfarct dementia
C0857121,Hypertensive (finding),hypertensive finding
C0035317,Retinal Hemorrhage,retinal hemorrhage
C0001621,Adrenal Gland Diseases,adrenal gland diseases
C1819254,aldosterone metabolic process,aldosterone metabolic process
C0001622,Adrenal Gland Hyperfunction,adrenal gland hyperfunction
C0686732,Environmental risk factor,environmental risk factor
C0264637,Benign hypertension (disorder),benign hypertension disorder
C1293136,Obliteration procedure,obliteration procedure
C0038449,Stricture of artery,stricture of artery
C0011382,Dental Occlusion,dental occlusion
C0441127,Balloon dilatation catheter,balloon dilatation catheter
C0920104,Complement factor test,complement factor test
C0085155,Generic Drugs,generic drugs
C0013764,elasticity,elasticity
C5417748,Transplant-Associated Thrombotic Microangiopathy,transplantassociated thrombotic microangiopathy
C0038257,"Stent, device",stent device
C0002996,"Angioplasty, Balloon",angioplasty balloon
C0011750,Developing Countries,developing countries
C0016390,Foam Cells,foam cells
C0871208,Rating (action),rating action
C4324389,Cardiovascular Risk,cardiovascular risk
C3658220,Atrial Remodeling,atrial remodeling
C1137094,Risk Reduction,risk reduction
C0036806,serum HDL,serum hdl
C0597423,Saturated fat,saturated fat
C0024798,Margarine,margarine
C0023821,High Density Lipoproteins,high density lipoproteins
C0085298,Sudden Cardiac Death,sudden cardiac death
C2242817,Homocysteine measurement,homocysteine measurement
C0065058,Lipoprotein (a),lipoprotein a
C0085833,Apoprotein(a),apoproteina
C5206406,Clonal Hematopoiesis,clonal hematopoiesis
C3641258,New Lesion Progression,new lesion progression
C4703473,Atherosclerotic lesion,atherosclerotic lesion
C3495426,Homocysteinemia,homocysteinemia
C0332461,Plaque (lesion),plaque lesion
C0598784,Dyslipoproteinemias,dyslipoproteinemias
C0428474,Serum LDL cholesterol measurement,serum ldl cholesterol measurement
C0428472,Serum HDL cholesterol measurement,serum hdl cholesterol measurement
C0020476,Hyperlipoproteinemias,hyperlipoproteinemias
C0549399,Low density lipoprotein increased,low density lipoprotein increased
C2700592,Decay (action),decay action
C0333484,Fatty streaks,fatty streaks
C0562425,millicoulomb,millicoulomb
turbulence at branch points,turbulence at branch points,turbulence at branch points
C0025465,Mesenteric Arteries,mesenteric arteries
C0334146,Fibrous plaque,fibrous plaque
C0333227,Microembolus,microembolus
C1511545,Critical,critical
C0282116,Collaboration,collaboration
C0021775,Intermittent Claudication,intermittent claudication
C0001637,Adrenergic Agents,adrenergic agents
C0011389,Dental Plaque,dental plaque
C0392464,Ventricular aneurysm,ventricular aneurysm
C1510412,Pseudoaneurysm,pseudoaneurysm
C0238577,Abdominal wall defect,abdominal wall defect
C0242875,Ventricular Septal Rupture,ventricular septal rupture
C0444505,Peak level,peak level
C0002949,Arterial Dissection,arterial dissection
C0032140,plasminogen,plasminogen
C1158918,lipoprotein modification,lipoprotein modification
C3548511,melanocyte adhesion,melanocyte adhesion
C0337094,Exit,exit
C2347366,Nonrandom Sampling,nonrandom sampling
C0003601,Apoproteins,apoproteins
C0065059,Lipoprotein Receptor,lipoprotein receptor
C0589507,Cognitive function: initiation,cognitive function initiation
C0032649,Structure of popliteal artery,structure of popliteal artery
C0007276,Internal carotid artery structure,internal carotid artery structure
C0003484,Abdominal aorta structure,abdominal aorta structure
C1522460,Thoracic aorta,thoracic aorta
C0599946,Attenuation,attenuation
C0332528,Decreased thickness,decreased thickness
C3640173,Inner Diameter,inner diameter
C0332520,Circumference,circumference
C0008031,Chest Pain,chest pain
C0340288,Stable angina,stable angina
C0156149,Gastrointestinal tract vascular insufficiency,gastrointestinal tract vascular insufficiency
C0007786,Brain Ischemia,brain ischemia
C0948089,Acute Coronary Syndrome,acute coronary syndrome
C0443294,Ruptured behavior,ruptured behavior
C1157968,collagen catabolic process,collagen catabolic process
C0442696,Waking,waking
C0333099,Fusiform Aneurysm,fusiform aneurysm
C4020964,Fibrous cardiac diverticulum,fibrous cardiac diverticulum
C5453901,Intravascular space,intravascular space
C0012737,Tissue Dissection,tissue dissection
C2713497,Saccular Aneurysm,saccular aneurysm
C4329703,Defective Thyroglobulin Synthesis,defective thyroglobulin synthesis
C0333490,Medial degeneration,medial degeneration
C0085808,"Aneurysm, Mycotic",aneurysm mycotic
C0153188,"Syphilis, tertiary",syphilis tertiary
C0205385,Ascending,ascending
C0014100,Endarteritis,endarteritis
C0162871,"Aortic Aneurysm, Abdominal",aortic aneurysm abdominal
C4732735,Familial predisposition,familial predisposition
C0271742,Glucocorticoid deficiency with achalasia,glucocorticoid deficiency with achalasia
C0024419,Waldenstrom Macroglobulinemia,waldenstrom macroglobulinemia
C0003509,Aortitis,aortitis
C0007770,Structure of cerebral artery,structure of cerebral artery
C0206058,Elective Surgical Procedures,elective surgical procedures
C0162872,"Aortic Aneurysm, Thoracic",aortic aneurysm thoracic
C1522619,Esophageal,esophageal
C0035561,Bone structure of rib,bone structure of rib
C4025596,Abnormality of connective tissue,abnormality of connective tissue
C0007431,Arterial catheterization,arterial catheterization
C0332463,Narrowed structure,narrowed structure
C0009171,Cocaine Abuse,cocaine abuse
C0007177,Cardiac Tamponade,cardiac tamponade
C0439070,Roman Numeral III,roman numeral iii
C5194360,Cardiac involvement,cardiac involvement
C0003364,Antihypertensive Agents,antihypertensive agents
C4510302,Vasculitis due to and following viral infection,vasculitis due to and following viral infection
C2347126,Microscopic Polyarteritis,microscopic polyarteritis
C0008728,Eosinophilic granulomatosis with polyangiitis,eosinophilic granulomatosis with polyangiitis
C4510989,Vasculitis of medium sized vessel,vasculitis of medium sized vessel
C5238790,Medication for Kawasaki Disease,medication for kawasaki disease
C0034152,Henoch-Schoenlein Purpura,henochschoenlein purpura
C0456981,specific antigen,specific antigen
C0151436,"Vasculitis, Leukocytoclastic, Cutaneous",vasculitis leukocytoclastic cutaneous
C0018593,Haptens,haptens
C0038418,streptokinase,streptokinase
C0013182,Drug Allergy,drug allergy
C0475208,Titer,titer
C1335267,PRTN3 gene,prtn3 gene
C0033511,propylthiouracil,propylthiouracil
C2717865,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,antineutrophil cytoplasmic antibodyassociated vasculitis
C0003489,Aortic arch structure,aortic arch structure
C0332161,Attenuated by (contextual qualifier),attenuated by contextual qualifier
C4289684,Dilated Cystic Spaces Present,dilated cystic spaces present
C0507851,Wall of aorta,wall of aorta
C0814002,Neurogenesis,neurogenesis
C0225957,Structure of anulus fibrosus of aorta,structure of anulus fibrosus of aorta
C0024117,Chronic Obstructive Airway Disease,chronic obstructive airway disease
C0333205,Mural thrombus,mural thrombus
C0149783,Steroid therapy,steroid therapy
C0439818,Bursting sensation quality,bursting sensation quality
C0439508,per year,per year
C0183336,Sleeve,sleeve
5%,5%,5
C0232466,Feeding difficulties,feeding difficulties
C0562483,Persistent cough,persistent cough
blood splays apart the laminar planes of the media,blood splays apart the laminar planes of the media,blood splays apart the laminar planes of the media
C0439669,iatrogenic,iatrogenic
C0596429,diagnostic catheterization,diagnostic catheterization
C0007202,Cardiopulmonary Bypass,cardiopulmonary bypass
C0032982,Pregnancy Trimesters,pregnancy trimesters
C0333285,Intramural hemorrhage,intramural hemorrhage
C0003956,Ascending aorta structure,ascending aorta structure
C0029266,Mental Orientation,mental orientation
C0205166,Long,long
C0011666,Descending aorta,descending aorta
C0038530,Structure of subclavian artery,structure of subclavian artery
C0230132,Anterior chest wall structure,anterior chest wall structure
C0243111,manufactured apparatus,manufactured apparatus
C0003504,Aortic Valve Insufficiency,aortic valve insufficiency
C0549186,Obstructed,obstructed
C0026976,"Myelitis, Transverse",myelitis transverse
C0029213,Organ Specificity,organ specificity
C0011298,Demography,demography
C0039483,Giant Cell Arteritis,giant cell arteritis
C0039263,Takayasu Arteritis,takayasu arteritis
C0010404,Cryoglobulins,cryoglobulins
C0019168,Hepatitis B Surface Antigens,hepatitis b surface antigens
C0369334,Hepatitis B Virus Surface Antibody,hepatitis b virus surface antibody
C1511876,Diagnostic Factor,diagnostic factor
C2981439,Clinical Events Severity,clinical events severity
C0679254,disease recurrence,disease recurrence
C0081583,cytoplasmic antineutrophil cytoplasmic antibody,cytoplasmic antineutrophil cytoplasmic antibody
C0134596,p-ANCA,panca
C0242599,Neutrophil Activation,neutrophil activation
C3887628,Circulating immune complexes,circulating immune complexes
C0029078,Structure of ophthalmic artery,structure of ophthalmic artery
C0226130,Structure of superficial temporal artery,structure of superficial temporal artery
C1859105,No ocular symptoms,no ocular symptoms
C0751545,Giant Cell Aortic Arteritis,giant cell aortic arteritis
C0013762,Elastic Tissue,elastic tissue
C0040452,Tooth root structure,tooth root structure
C0003493,Aortic Diseases,aortic diseases
C0524909,"Hepatitis B, Chronic",hepatitis b chronic
C0027813,Neuritis,neuritis
C0264684,Coronary arteritis,coronary arteritis
C0010051,Coronary Aneurysm,coronary aneurysm
C0268750,Necrotizing glomerulonephritis,necrotizing glomerulonephritis
C3854530,Pulmonary capillaritis,pulmonary capillaritis
C0340992,Cryoglobulinemic vasculitis,cryoglobulinemic vasculitis
C0021055,Immunologic Memory,immunologic memory
C0017955,Glycophorin A,glycophorin a
C2936314,Medium-Sized Business,mediumsized business
C0444708,Radiographic,radiographic
C0449450,Presentation,presentation
C0035020,Relapse,relapse
C0017181,Gastrointestinal Hemorrhage,gastrointestinal hemorrhage
C0040021,Thromboangiitis Obliterans,thromboangiitis obliterans
C0333373,Microabscess,microabscess
